"kingdom","kingdomKey","phylum","phylumKey","class","classKey","order","orderKey","family","familyKey","genus","genusKey","species","speciesKey"
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Poecilus",7927877,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Chrysomelidae",7780,"Calligrapha",3261132,"Calligrapha multipunctata",4990875
"Animalia",1,"Mollusca",52,"Bivalvia",137,"Unionida",9301143,"Unionidae",3461,"Lasmigona",2288260,"Lasmigona complanata",2288265
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Aphodiidae",2933,"Blackburneus",1066025,"Blackburneus stercorosus",1066071
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Sphingidae",8868,"Sphinx",1864404,"Sphinx poecila",5124119
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Gyrinidae",9646,"Gyrinus",7877186,"Gyrinus fraternus",4988189
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Gracillariidae",5487,"Caloptilia",1750339,"Caloptilia ostryaeella",5104779
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Plutellidae",8860,"Rhigognostis",1831272,"Rhigognostis interrupta",9958241
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Simyra",1762232,"Simyra henrici",1762234
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Lebia",1036801,"Lebia grandis",4988908
"Animalia",1,"Chordata",44,"Aves",212,"Charadriiformes",7192402,"Laridae",9316,"Rissa",2481203,"Rissa tridactyla",2481205
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Cicadellidae",9647,"Limotettix",2043709,"Limotettix cuneatus",2043722
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Crambidae",8841,"Petrophila",1887463,"Petrophila canadensis",5127350
"Animalia",1,"Brachiopoda",110,"Rhynchonellata",210,"",NULL,"Eoorthidae",4870431,"Apheoorthis",4870356,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Andrenidae",7901,"Andrena",1345710,"Andrena hippotes",1357400
"Animalia",1,"Chordata",44,"Aves",212,"Strigiformes",1450,"Strigidae",9348,"Strix",2497486,"Strix nebulosa",2497522
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Buprestidae",3789,"Dicerca",7974115,"Dicerca lurida",6003485
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hymenoptera",1457,"Andrenidae",7901,"Perdita",1356038,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Amara",1035151,"Amara impuncticollis",1035235
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Acleris",1739724,"Acleris fimbriana",1740166
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Ancylis",7236046,"Ancylis goodelliana",5103098
"Animalia",1,"Chordata",44,"",NULL,"",NULL,"",NULL,"Eoconodontus",4842043,"",NULL
"Animalia",1,"Chordata",44,"Aves",212,"Passeriformes",729,"Parulidae",5263,"Setophaga",2489984,"Setophaga auduboni",7760978
"Animalia",1,"Chordata",44,"Aves",212,"Passeriformes",729,"Troglodytidae",9355,"Troglodytes",2493899,"Troglodytes aedon",5231459
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Miridae",4319,"Monalocoris",9733113,"Monalocoris americanus",2010080
"Animalia",1,"Arthropoda",54,"",NULL,"Araneae",1496,"Pisauridae",5641,"Dolomedes",2150885,"Dolomedes striatus",2150930
"Animalia",1,"Arthropoda",54,"Insecta",216,"Dermaptera",1224,"Anisolabididae",2796,"Euborellia",1419888,"Euborellia annulipes",1419894
"Animalia",1,"Bryozoa",53,"Phylactolaemata",139,"Plumatellida",1070,"Plumatellidae",3510,"Plumatella",1003585,"Plumatella fruticosa",1003625
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Elateridae",7825,"Melanotus",1162063,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Erebidae",4532185,"Phalaenophana",4687947,"Phalaenophana pyramusalis",9342938
"Animalia",1,"Arthropoda",54,"Insecta",216,"Orthoptera",1458,"Acrididae",9394,"Melanoplus",1698834,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Choristoneura",1736656,"Choristoneura conflictana",5102651
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Philometra",9544308,"Philometra eumelusalis",5110579
